country_code,consumer_price_index
4,149.90
8,119.10
12,151.40
20,105.80
24,378.90
660,107.10
28,115.40
32,232.80
51,129.20
533,109.20
36,119.80
40,118.10
31,156.90
44,116.20
48,118.80
50,179.70
52,191.70
112,508.10
56,117.10
84,106.20
204,110.70
64,100.20
68,148.30
70,104.90
72,149.70
76,167.40
96,99.00
100,114.40
854,108.40
108,182.10
132,110.50
120,118.60
124,116.80
136,114.60
140,151.80
148,117.70
152,131.90
156,108.80
344,134.70
446,144.00
170,140.90
178,124.70
184,108.70
188,128.80
384,111.60
191,109.80
531,115.60
196,102.50
203,116.50
208,110.30
262,120.30
212,105.40
214,135.50
218,124.10
818,288.60
222,111.20
226,124.30
233,122.10
748,166.80
231,319.00
242,132.30
246,112.30
250,110.00
254,108.30
266,122.60
270,172.70
268,131.10
276,105.20
288,248.40
300,101.90
308,108.10
312,109.30
316,120.50
320,142.90
324,262.90
624,112.70
328,116.20
332,122.90
340,150.30
348,121.60
352,129.00
356,180.40
360,151.20
364,175.40
368,119.60
372,106.60
376,108.10
380,110.60
388,162.50
392,105.50
400,125.00
398,188.50
404,190.00
296,100.50
414,126.60
417,155.70
418,135.90
428,116.90
422,130.00
426,155.90
440,118.40
442,115.10
450,124.60
454,418.30
458,121.50
462,136.60
466,108.70
470,113.50
474,109.30
478,110.50
480,130.00
484,141.50
496,120.40
499,116.70
500,109.20
504,101.80
508,182.30
104,168.20
516,158.00
524,128.40
528,115.90
540,110.20
554,114.20
558,162.70
562,101.50
566,267.50
807,113.40
578,120.30
512,113.50
586,182.30
591,122.10
598,155.90
600,143.80
604,129.80
608,120.20
616,113.90
620,110.60
634,108.10
410,115.20
498,166.30
638,107.70
642,123.80
643,180.70
646,140.50
659,104.30
662,110.70
670,110.70
882,117.60
674,112.50
682,97.90
686,109.30
688,144.00
690,130.00
694,234.20
702,114.40
703,115.30
705,111.10
90,133.10
710,158.70
728,15749.20
724,111.00
144,129.60
275,112.50
729,1344.20
740,294.80
752,110.50
756,99.50
760,896.20
762,178.60
764,113.30
626,146.20
768,113.30
780,143.20
788,158.80
792,233.50
800,107.60
804,281.90
784,114.50
826,120.60
834,187.40
840,117.20
858,202.90
860,153.30
548,117.10
862,1931.50
704,163.50
894,212.30
