country_code,gender_ratio_males_per100_female
4,105.50
8,103.70
12,102.10
24,97.90
28,93.20
32,95.20
51,88.80
533,90.30
36,99.20
40,97.00
31,99.70
44,94.50
48,179.90
50,102.40
52,93.70
112,87.10
56,98.00
84,99.10
204,99.70
64,113.10
68,100.80
70,96.00
72,93.70
76,96.70
96,108.00
100,94.40
854,99.70
108,98.40
132,100.80
116,95.40
120,100.00
124,98.50
140,98.30
148,99.70
152,97.20
156,105.40
344,85.10
446,92.50
170,96.40
174,101.80
178,99.80
188,99.90
384,101.80
191,93.00
192,98.60
531,85.00
196,100.00
203,96.90
408,95.70
180,99.60
208,98.90
262,110.90
214,99.90
218,100.10
818,102.10
222,88.10
226,125.20
232,100.50
233,89.60
748,96.10
231,100.10
242,102.70
246,97.20
250,93.80
254,97.80
258,102.70
266,103.70
270,98.40
268,91.10
276,97.60
288,102.80
300,96.40
308,101.50
312,85.80
316,101.90
320,97.10
324,93.40
624,95.60
328,101.00
332,97.40
340,99.80
348,90.80
352,100.80
356,108.20
360,101.40
364,102.10
368,102.40
372,98.50
376,99.00
380,94.80
388,98.60
392,95.40
400,102.50
398,94.20
404,98.80
296,96.70
414,155.90
417,97.90
418,100.80
428,85.30
422,101.30
426,97.30
430,101.00
434,102.00
440,86.10
442,102.10
450,99.50
454,97.30
458,105.80
462,172.40
466,100.30
470,100.50
474,85.40
478,100.80
480,97.60
484,95.80
583,103.40
496,97.20
499,97.80
504,98.40
508,94.40
104,93.00
516,94.00
524,83.80
528,99.20
540,101.20
554,96.70
558,97.20
562,101.00
566,102.70
807,100.10
578,102.10
512,194.30
586,106.00
591,100.30
598,104.30
600,103.40
604,98.70
608,101.00
616,94.00
620,89.70
630,90.30
634,305.40
410,100.30
498,92.00
638,93.80
642,94.70
643,86.40
646,96.70
662,97.00
670,102.90
882,107.30
678,100.20
682,136.60
686,95.20
688,96.00
690,105.50
694,99.60
702,109.80
703,94.90
705,99.10
90,103.40
706,99.50
710,97.20
724,96.60
144,92.30
275,102.90
740,101.10
752,100.30
756,98.40
760,100.50
762,101.60
764,94.90
626,102.20
768,99.00
776,100.10
780,97.60
788,98.30
792,97.40
795,97.00
800,97.10
804,86.30
784,225.30
826,97.60
834,99.80
840,97.90
850,90.60
858,93.40
860,99.50
548,102.80
862,97.10
704,99.70
732,109.70
887,101.50
894,98.10
716,91.10
