country_code,life_ladder
4,2.38
8,5.00
12,4.75
32,6.09
51,5.49
36,7.23
40,7.20
31,5.17
48,7.10
50,5.11
112,5.82
56,6.77
204,4.98
68,5.67
70,6.02
72,3.47
76,6.45
100,5.11
854,4.74
116,5.00
120,4.94
124,7.11
148,4.25
152,5.94
156,5.14
170,6.35
174,4.61
178,5.21
188,7.00
191,5.63
196,6.14
208,7.69
214,6.00
218,5.81
818,4.33
222,6.46
233,6.04
231,4.10
246,7.78
250,6.69
266,4.91
270,5.16
268,4.89
276,7.04
288,4.97
300,5.95
320,6.26
324,4.77
340,5.93
344,5.66
348,6.00
352,7.53
356,3.25
360,5.35
364,5.01
372,7.26
376,7.33
380,6.45
384,5.39
388,6.31
392,5.91
400,4.45
398,6.27
404,4.62
414,6.11
417,5.69
418,5.20
428,5.97
422,4.02
426,3.51
430,5.12
434,5.33
440,6.06
442,7.40
450,4.34
454,3.87
458,5.43
466,4.99
470,6.73
478,4.15
480,6.24
484,6.43
498,5.80
496,5.56
499,5.39
504,5.06
508,4.93
104,4.43
516,4.44
524,5.45
528,7.43
554,7.21
558,6.11
562,5.00
566,4.36
807,5.02
578,7.44
586,4.44
275,4.48
591,6.09
600,5.65
604,6.00
608,6.27
616,6.24
620,6.10
642,6.13
643,5.44
646,3.27
682,6.56
686,5.49
688,6.24
694,3.45
702,6.38
703,6.24
705,6.67
710,5.04
410,5.90
724,6.46
144,4.21
752,7.40
756,7.69
762,5.46
834,3.64
764,6.02
768,4.18
788,4.32
792,4.87
795,5.47
800,4.95
804,4.70
784,6.71
826,7.16
840,6.94
858,6.60
860,6.15
862,5.08
704,5.47
887,4.20
894,3.31
716,2.69
