country_code,life_expectancy
4,64.30
8,78.40
12,76.60
24,60.50
28,76.80
32,76.40
51,74.90
533,76.10
36,83.20
40,81.40
31,72.80
44,73.70
48,77.10
50,72.20
52,79.00
112,74.50
56,81.40
84,74.40
204,61.30
64,71.30
68,71.10
70,77.20
72,69.10
76,75.60
96,75.70
100,74.80
854,60.90
108,61.00
132,72.70
116,69.40
120,58.80
124,82.20
140,52.70
148,53.80
830,82.80
152,80.00
156,76.60
344,84.60
446,84.00
170,77.00
174,64.00
178,64.20
188,80.00
384,57.20
191,78.20
192,78.70
531,78.60
196,80.70
203,79.10
408,72.00
180,60.20
208,80.70
262,66.50
214,73.80
218,76.70
818,71.70
222,73.00
226,58.20
232,65.70
233,78.50
748,59.30
231,66.00
242,67.30
246,81.60
250,82.50
254,79.70
258,77.40
266,66.10
270,61.50
268,73.50
276,81.10
288,63.70
300,82.00
308,72.40
312,81.80
316,79.80
320,73.90
324,61.00
624,57.80
328,69.70
332,63.50
340,75.00
348,76.60
352,82.80
356,69.30
360,71.40
364,76.30
368,70.40
372,82.00
376,82.70
380,83.30
388,74.30
392,84.40
400,74.30
398,73.20
404,66.20
296,68.00
414,75.30
417,71.20
418,67.40
428,75.10
422,78.80
426,53.50
430,63.60
434,72.70
440,75.70
442,82.00
450,66.50
454,63.40
458,75.90
462,78.50
466,58.70
470,82.30
474,82.30
478,64.60
480,74.80
175,79.30
484,75.00
583,67.70
496,69.50
499,76.70
504,76.30
508,60.10
104,66.80
516,63.00
524,70.30
528,82.10
540,77.30
554,82.10
558,74.20
562,61.80
566,54.20
578,82.20
512,77.50
158,80.20
586,67.00
591,78.20
598,64.20
600,74.10
604,76.40
608,71.00
616,78.50
620,81.80
630,79.90
634,80.00
410,82.80
498,71.70
638,80.00
642,75.80
643,72.30
646,68.40
662,76.00
670,72.40
882,73.10
678,70.00
682,74.90
686,67.50
688,75.80
690,73.30
694,54.10
702,83.40
703,77.30
705,81.10
90,72.80
706,56.90
710,63.60
728,57.40
724,83.40
144,76.70
275,73.80
729,64.90
740,71.50
752,82.60
756,83.60
760,71.30
762,70.80
764,76.80
807,75.60
626,69.20
768,60.50
776,70.70
780,73.30
788,76.40
792,77.30
795,68.00
800,62.80
804,71.80
784,77.70
826,81.20
834,64.80
840,78.80
850,80.30
858,77.70
860,71.50
548,70.20
862,72.10
704,75.30
732,69.90
887,66.00
894,63.30
716,60.80
