country_code,per_capita_gdp_dollars
4,470.00
8,5303.00
12,3976.00
20,40887.00
24,2671.00
660,25529.00
28,17113.00
32,10041.00
51,4623.00
533,30975.00
36,54763.00
40,49701.00
31,4782.00
44,34864.00
48,23504.00
50,1846.00
52,18149.00
112,6674.00
56,46198.00
84,4815.00
204,1220.00
60,117768.00
64,3361.00
68,3552.00
70,6109.00
72,7961.00
76,8755.00
92,43189.00
96,31086.00
100,9703.00
854,787.00
108,260.00
132,3604.00
116,1644.00
120,1502.00
124,46550.00
136,92692.00
140,468.00
148,707.00
152,14896.00
156,10004.00
344,49180.00
446,84097.00
170,6432.00
174,1370.00
178,2304.00
184,21603.00
188,12238.00
384,2276.00
191,14627.00
192,9296.00
531,18980.00
196,28285.00
203,23452.00
408,640.00
180,545.00
208,60657.00
262,3252.00
212,8111.00
214,8282.00
218,6184.00
818,3161.00
222,4187.00
226,8130.00
232,567.00
233,23740.00
748,4002.00
231,828.00
242,6185.00
246,48678.00
250,40319.00
258,21567.00
266,7773.00
270,776.00
268,4439.00
276,46232.00
288,2203.00
300,19604.00
304,53353.00
308,10818.00
320,4363.00
324,967.00
624,688.00
328,6610.00
332,715.00
340,2575.00
348,16879.00
352,71345.00
356,2116.00
360,4136.00
364,7282.00
368,5730.00
372,81637.00
376,46376.00
380,33090.00
388,5369.00
392,40063.00
400,4405.00
398,9793.00
404,1817.00
296,1657.00
414,31999.00
417,1318.00
418,2625.00
428,17885.00
422,7784.00
426,1158.00
430,523.00
434,4810.00
438,178799.00
440,19795.00
442,115481.00
450,523.00
454,435.00
458,11414.00
462,10626.00
466,887.00
470,33752.00
584,4038.00
478,1678.00
480,11169.00
484,9849.00
583,3640.00
492,190532.00
496,4295.00
499,8825.00
500,13487.00
504,3282.00
508,504.00
104,1421.00
516,4957.00
520,12351.00
524,1074.00
528,53053.00
540,34942.00
554,43229.00
558,1913.00
562,555.00
566,2361.00
807,6093.00
578,74986.00
512,15343.00
586,1187.00
585,15572.00
591,15728.00
598,2845.00
600,5406.00
604,6978.00
608,3324.00
616,15727.00
620,23350.00
630,35791.00
634,64782.00
410,32143.00
498,2957.00
642,12914.00
643,11606.00
646,820.00
659,19896.00
662,11611.00
670,7464.00
882,4285.00
674,47313.00
678,1961.00
682,23140.00
686,1452.00
688,7359.00
690,17382.00
694,528.00
702,64103.00
534,23804.00
703,19256.00
705,26062.00
90,1945.00
706,105.00
710,6001.00
728,448.00
724,29816.00
144,3940.00
275,3424.00
729,815.00
740,6360.00
752,52896.00
756,85135.00
760,1194.00
762,894.00
764,7785.00
626,1561.00
768,899.00
776,4865.00
780,16637.00
788,3318.00
792,9127.00
795,8124.00
796,31353.00
798,4036.00
800,737.00
804,3496.00
784,43103.00
826,41855.00
834,1084.00
840,65134.00
858,16190.00
860,1756.00
548,3023.00
862,4733.00
704,2715.00
887,855.00
894,1292.00
716,1464.00
