country_code,population_density
4,58.30
8,105.10
12,18.10
16,276.60
20,164.10
24,25.50
660,165.20
28,220.70
32,16.40
51,103.90
533,590.60
36,3.30
40,108.70
31,121.60
44,38.90
48,2159.40
50,1252.60
52,667.50
112,46.60
56,381.10
84,17.10
204,104.70
60,1250.20
64,20.00
68,10.60
70,64.70
72,4.10
76,25.30
92,200.20
96,82.20
100,64.50
854,74.30
108,449.00
132,136.50
116,93.40
120,54.70
124,4.10
136,270.60
140,7.60
148,12.70
152,25.50
156,152.70
344,7082.10
446,21419.60
170,45.40
174,457.20
178,15.80
184,73.10
188,98.90
384,80.90
191,73.80
192,106.50
531,368.10
196,129.70
203,138.40
408,213.20
180,38.30
208,136.00
262,42.00
212,95.70
214,222.20
218,70.00
818,100.80
222,311.50
226,48.30
232,34.60
233,31.30
748,66.80
231,112.10
238,0.30
234,34.90
242,48.70
246,18.20
250,118.90
254,3.50
258,76.30
266,8.40
270,232.00
268,57.50
276,239.60
288,133.70
292,3370.60
300,81.30
304,0.10
308,329.40
312,245.70
316,309.80
320,164.10
324,52.00
624,68.30
328,4.00
332,408.70
336,1852.30
340,87.10
348,107.00
352,3.40
356,459.60
360,149.40
364,50.90
368,90.50
372,70.90
833,148.40
376,393.70
380,205.90
388,272.20
392,348.00
400,113.80
398,6.90
404,92.40
296,145.20
414,236.10
417,33.50
418,31.10
428,30.70
422,670.20
426,70.00
430,51.30
434,3.90
438,237.60
440,44.00
442,237.70
450,46.40
454,197.60
458,97.20
462,1769.90
466,16.10
470,1376.20
584,326.60
474,354.30
478,4.40
480,625.50
484,65.60
583,162.60
492,26152.30
496,2.10
499,46.70
500,49.90
504,81.70
508,38.60
104,82.70
516,3.00
520,538.20
524,199.60
528,507.00
540,15.50
554,18.20
558,54.40
562,18.40
566,220.70
570,6.20
807,82.60
580,124.40
578,14.70
512,16.10
586,280.90
585,39.10
591,57.10
598,19.40
600,17.70
604,25.40
608,362.60
616,123.70
620,111.70
630,330.70
634,243.90
410,526.80
498,123.10
638,355.60
642,84.10
643,8.90
646,511.80
654,15.50
659,203.20
662,299.70
666,25.30
670,283.60
882,69.60
674,564.40
678,224.00
682,15.90
686,84.60
688,100.30
690,212.50
694,108.20
702,8291.90
534,1246.70
703,113.50
705,103.20
90,23.90
706,24.60
710,48.30
724,93.70
144,340.00
275,827.50
740,3.70
752,24.50
756,217.40
760,93.00
762,66.60
764,136.30
626,87.00
768,148.60
772,133.00
776,145.10
780,271.90
788,75.30
792,108.40
795,12.60
796,40.20
798,388.50
800,221.60
804,75.90
784,116.90
826,279.10
834,65.50
840,36.00
850,298.80
858,19.80
860,77.50
548,24.60
862,32.30
704,311.10
876,81.70
732,2.20
887,55.20
894,24.00
716,37.90
