country_code,country_name,yr,Democracy index (EIU)
4,Afghanistan,2019,28.5
8,Albania,2019,58.9
12,Algeria,2019,40.1
24,Angola,2019,37.2
32,Argentina,2019,70.2
51,Armenia,2019,55.4
36,Australia,2019,90.9
40,Austria,2019,82.9
31,Azerbaijan,2019,27.5
48,Bahrain,2019,25.5
50,Bangladesh,2019,58.8
112,Belarus,2019,24.8
56,Belgium,2019,76.4
204,Benin,2019,50.9
64,Bhutan,2019,53
68,Bolivia (Plurin. State of),2019,48.4
70,Bosnia and Herzegovina,2019,48.6
72,Botswana,2019,78.1
76,Brazil,2019,68.6
100,Bulgaria,2019,70.3
854,Burkina Faso,2019,40.4
108,Burundi,2019,21.5
116,Cambodia,2019,35.3
120,Cameroon,2019,28.5
124,Canada,2019,92.2
132,Cabo Verde,2019,77.8
140,Central African Republic,2019,13.2
148,Chad,2019,16.1
152,Chile,2019,80.8
156,China,2019,22.6
170,Colombia,2019,71.3
174,Comoros,2019,31.5
180,Dem. Rep. of the Congo,2019,11.3
178,Congo,2019,31.1
188,Costa Rica,2019,81.3
384,Côte d’Ivoire,2019,40.5
191,Croatia,2019,65.7
192,Cuba,2019,28.4
196,Cyprus,2019,75.9
203,Czechia,2019,76.9
208,Denmark,2019,92.2
262,Djibouti,2019,27.7
214,Dominican Republic,2019,65.4
218,Ecuador,2019,63.3
818,Egypt,2019,30.6
222,El Salvador,2019,61.5
226,Equatorial Guinea,2019,19.2
232,Eritrea,2019,23.7
233,Estonia,2019,79
231,Ethiopia,2019,34.4
242,Fiji,2019,58.5
246,Finland,2019,92.5
250,France,2019,81.2
266,Gabon,2019,36.1
270,Gambia,2019,43.3
268,Georgia,2019,54.2
276,Germany,2019,86.8
288,Ghana,2019,66.3
300,Greece,2019,74.3
320,Guatemala,2019,52.6
324,Guinea,2019,31.4
624,Guinea-Bissau,2019,26.3
328,Guyana,2019,61.5
332,Haiti,2019,45.7
340,Honduras,2019,54.2
344,"China, Hong Kong SAR",2019,60.2
348,Hungary,2019,66.3
352,Iceland,2019,95.8
356,India,2019,69
