Region/Country/Area,,Year,Series,Value
4,Afghanistan,2019,Consumer price index: General,149.9
8,Albania,2019,Consumer price index: General,119.1
12,Algeria,2019,Consumer price index: General,151.4
20,Andorra,2019,Consumer price index: General,105.8
24,Angola,2019,Consumer price index: General,378.9
660,Anguilla,2019,Consumer price index: General,107.1
28,Antigua and Barbuda,2019,Consumer price index: General,115.4
32,Argentina,2019,Consumer price index: General,232.8
51,Armenia,2019,Consumer price index: General,129.2
533,Aruba,2019,Consumer price index: General,109.2
36,Australia,2019,Consumer price index: General,119.8
40,Austria,2019,Consumer price index: General,118.1
31,Azerbaijan,2019,Consumer price index: General,156.9
44,Bahamas,2019,Consumer price index: General,116.2
48,Bahrain,2019,Consumer price index: General,118.8
50,Bangladesh,2019,Consumer price index: General,179.7
52,Barbados,2019,Consumer price index: General,191.7
112,Belarus,2019,Consumer price index: General,508.1
56,Belgium,2019,Consumer price index: General,117.1
84,Belize,2019,Consumer price index: General,106.2
204,Benin,2019,Consumer price index: General,110.7
64,Bhutan,2019,Consumer price index: General,100.2
68,Bolivia (Plurin. State of),2019,Consumer price index: General,148.3
70,Bosnia and Herzegovina,2019,Consumer price index: General,104.9
72,Botswana,2019,Consumer price index: General,149.7
76,Brazil,2019,Consumer price index: General,167.4
96,Brunei Darussalam,2019,Consumer price index: General,99.0
100,Bulgaria,2019,Consumer price index: General,114.4
854,Burkina Faso,2019,Consumer price index: General,108.4
108,Burundi,2019,Consumer price index: General,182.1
132,Cabo Verde,2019,Consumer price index: General,110.5
120,Cameroon,2019,Consumer price index: General,118.6
124,Canada,2019,Consumer price index: General,116.8
136,Cayman Islands,2019,Consumer price index: General,114.6
140,Central African Republic,2019,Consumer price index: General,151.8
148,Chad,2019,Consumer price index: General,117.7
152,Chile,2019,Consumer price index: General,131.9
156,China,2019,Consumer price index: General,108.8
344,"China, Hong Kong SAR",2019,Consumer price index: General,134.7
446,"China, Macao SAR",2019,Consumer price index: General,144.0
170,Colombia,2019,Consumer price index: General,140.9
178,Congo,2019,Consumer price index: General,124.7
184,Cook Islands,2019,Consumer price index: General,108.7
188,Costa Rica,2019,Consumer price index: General,128.8
384,Côte d’Ivoire,2019,Consumer price index: General,111.6
191,Croatia,2019,Consumer price index: General,109.8
531,Curaçao,2019,Consumer price index: General,115.6
196,Cyprus,2019,Consumer price index: General,102.5
203,Czechia,2019,Consumer price index: General,116.5
208,Denmark,2019,Consumer price index: General,110.3
262,Djibouti,2019,Consumer price index: General,120.3
212,Dominica,2019,Consumer price index: General,105.4
214,Dominican Republic,2019,Consumer price index: General,135.5
218,Ecuador,2019,Consumer price index: General,124.1
818,Egypt,2019,Consumer price index: General,288.6
222,El Salvador,2019,Consumer price index: General,111.2
226,Equatorial Guinea,2019,Consumer price index: General,124.3
233,Estonia,2019,Consumer price index: General,122.1
748,Eswatini,2019,Consumer price index: General,166.8
231,Ethiopia,2019,Consumer price index: General,319.0
242,Fiji,2019,Consumer price index: General,132.3
246,Finland,2019,Consumer price index: General,112.3
250,France,2019,Consumer price index: General,110.0
254,French Guiana,2019,Consumer price index: General,108.3
266,Gabon,2019,Consumer price index: General,122.6
270,Gambia,2019,Consumer price index: General,172.7
268,Georgia,2019,Consumer price index: General,131.1
276,Germany,2019,Consumer price index: General,105.2
288,Ghana,2019,Consumer price index: General,248.4
300,Greece,2019,Consumer price index: General,101.9
308,Grenada,2019,Consumer price index: General,108.1
312,Guadeloupe,2019,Consumer price index: General,109.3
316,Guam,2019,Consumer price index: General,120.5
320,Guatemala,2019,Consumer price index: General,142.9
324,Guinea,2019,Consumer price index: General,262.9
624,Guinea-Bissau,2019,Consumer price index: General,112.7
328,Guyana,2019,Consumer price index: General,116.2
332,Haiti,2019,Consumer price index: General,122.9
340,Honduras,2019,Consumer price index: General,150.3
348,Hungary,2019,Consumer price index: General,121.6
352,Iceland,2019,Consumer price index: General,129.0
356,India,2019,Consumer price index: General,180.4
360,Indonesia,2019,Consumer price index: General,151.2
364,Iran (Islamic Republic of),2019,Consumer price index: General,175.4
368,Iraq,2019,Consumer price index: General,119.6
372,Ireland,2019,Consumer price index: General,106.6
376,Israel,2019,Consumer price index: General,108.1
380,Italy,2019,Consumer price index: General,110.6
388,Jamaica,2019,Consumer price index: General,162.5
392,Japan,2019,Consumer price index: General,105.5
400,Jordan,2019,Consumer price index: General,125.0
398,Kazakhstan,2019,Consumer price index: General,188.5
404,Kenya,2019,Consumer price index: General,190.0
296,Kiribati,2019,Consumer price index: General,100.5
414,Kuwait,2019,Consumer price index: General,126.6
417,Kyrgyzstan,2019,Consumer price index: General,155.7
418,Lao People's Dem. Rep.,2019,Consumer price index: General,135.9
428,Latvia,2019,Consumer price index: General,116.9
422,Lebanon,2019,Consumer price index: General,130.0
426,Lesotho,2019,Consumer price index: General,155.9
440,Lithuania,2019,Consumer price index: General,118.4
442,Luxembourg,2019,Consumer price index: General,115.1
450,Madagascar,2019,Consumer price index: General,124.6
454,Malawi,2019,Consumer price index: General,418.3
458,Malaysia,2019,Consumer price index: General,121.5
462,Maldives,2019,Consumer price index: General,136.6
466,Mali,2019,Consumer price index: General,108.7
470,Malta,2019,Consumer price index: General,113.5
474,Martinique,2019,Consumer price index: General,109.3
478,Mauritania,2019,Consumer price index: General,110.5
480,Mauritius,2019,Consumer price index: General,130.0
