Region/Country/Area,,Year,Series,Value
4,Afghanistan,2019,GDP per capita (US dollars),$470.00
8,Albania,2019,GDP per capita (US dollars),"$5,303.00"
12,Algeria,2019,GDP per capita (US dollars),"$3,976.00"
20,Andorra,2019,GDP per capita (US dollars),"$40,887.00"
24,Angola,2019,GDP per capita (US dollars),"$2,671.00"
660,Anguilla,2019,GDP per capita (US dollars),"$25,529.00"
28,Antigua and Barbuda,2019,GDP per capita (US dollars),"$17,113.00"
32,Argentina,2019,GDP per capita (US dollars),"$10,041.00"
51,Armenia,2019,GDP per capita (US dollars),"$4,623.00"
533,Aruba,2019,GDP per capita (US dollars),"$30,975.00"
36,Australia,2019,GDP per capita (US dollars),"$54,763.00"
40,Austria,2019,GDP per capita (US dollars),"$49,701.00"
31,Azerbaijan,2019,GDP per capita (US dollars),"$4,782.00"
44,Bahamas,2019,GDP per capita (US dollars),"$34,864.00"
48,Bahrain,2019,GDP per capita (US dollars),"$23,504.00"
50,Bangladesh,2019,GDP per capita (US dollars),"$1,846.00"
52,Barbados,2019,GDP per capita (US dollars),"$18,149.00"
112,Belarus,2019,GDP per capita (US dollars),"$6,674.00"
56,Belgium,2019,GDP per capita (US dollars),"$46,198.00"
84,Belize,2019,GDP per capita (US dollars),"$4,815.00"
204,Benin,2019,GDP per capita (US dollars),"$1,220.00"
60,Bermuda,2019,GDP per capita (US dollars),"$117,768.00"
64,Bhutan,2019,GDP per capita (US dollars),"$3,361.00"
68,Bolivia (Plurin. State of),2019,GDP per capita (US dollars),"$3,552.00"
70,Bosnia and Herzegovina,2019,GDP per capita (US dollars),"$6,109.00"
72,Botswana,2019,GDP per capita (US dollars),"$7,961.00"
76,Brazil,2019,GDP per capita (US dollars),"$8,755.00"
92,British Virgin Islands,2019,GDP per capita (US dollars),"$43,189.00"
96,Brunei Darussalam,2019,GDP per capita (US dollars),"$31,086.00"
100,Bulgaria,2019,GDP per capita (US dollars),"$9,703.00"
854,Burkina Faso,2019,GDP per capita (US dollars),$787.00
108,Burundi,2019,GDP per capita (US dollars),$260.00
132,Cabo Verde,2019,GDP per capita (US dollars),"$3,604.00"
116,Cambodia,2019,GDP per capita (US dollars),"$1,644.00"
120,Cameroon,2019,GDP per capita (US dollars),"$1,502.00"
124,Canada,2019,GDP per capita (US dollars),"$46,550.00"
136,Cayman Islands,2019,GDP per capita (US dollars),"$92,692.00"
140,Central African Republic,2019,GDP per capita (US dollars),$468.00
148,Chad,2019,GDP per capita (US dollars),$707.00
152,Chile,2019,GDP per capita (US dollars),"$14,896.00"
156,China,2019,GDP per capita (US dollars),"$10,004.00"
344,"China, Hong Kong SAR",2019,GDP per capita (US dollars),"$49,180.00"
446,"China, Macao SAR",2019,GDP per capita (US dollars),"$84,097.00"
170,Colombia,2019,GDP per capita (US dollars),"$6,432.00"
174,Comoros,2019,GDP per capita (US dollars),"$1,370.00"
178,Congo,2019,GDP per capita (US dollars),"$2,304.00"
184,Cook Islands,2019,GDP per capita (US dollars),"$21,603.00"
188,Costa Rica,2019,GDP per capita (US dollars),"$12,238.00"
384,Côte d’Ivoire,2019,GDP per capita (US dollars),"$2,276.00"
191,Croatia,2019,GDP per capita (US dollars),"$14,627.00"
