Region/Country/Area,,Year,Series,Value
4,Afghanistan,2019,Sex ratio (males per 100 females),105.5
8,Albania,2019,Sex ratio (males per 100 females),103.7
12,Algeria,2019,Sex ratio (males per 100 females),102.1
24,Angola,2019,Sex ratio (males per 100 females),97.9
28,Antigua and Barbuda,2019,Sex ratio (males per 100 females),93.2
32,Argentina,2019,Sex ratio (males per 100 females),95.2
51,Armenia,2019,Sex ratio (males per 100 females),88.8
533,Aruba,2019,Sex ratio (males per 100 females),90.3
36,Australia,2019,Sex ratio (males per 100 females),99.2
40,Austria,2019,Sex ratio (males per 100 females),97
31,Azerbaijan,2019,Sex ratio (males per 100 females),99.7
44,Bahamas,2019,Sex ratio (males per 100 females),94.5
48,Bahrain,2019,Sex ratio (males per 100 females),179.9
50,Bangladesh,2019,Sex ratio (males per 100 females),102.4
52,Barbados,2019,Sex ratio (males per 100 females),93.7
112,Belarus,2019,Sex ratio (males per 100 females),87.1
56,Belgium,2019,Sex ratio (males per 100 females),98
84,Belize,2019,Sex ratio (males per 100 females),99.1
204,Benin,2019,Sex ratio (males per 100 females),99.7
64,Bhutan,2019,Sex ratio (males per 100 females),113.1
68,Bolivia (Plurin. State of),2019,Sex ratio (males per 100 females),100.8
70,Bosnia and Herzegovina,2019,Sex ratio (males per 100 females),96
72,Botswana,2019,Sex ratio (males per 100 females),93.7
76,Brazil,2019,Sex ratio (males per 100 females),96.7
96,Brunei Darussalam,2019,Sex ratio (males per 100 females),108
100,Bulgaria,2019,Sex ratio (males per 100 females),94.4
854,Burkina Faso,2019,Sex ratio (males per 100 females),99.7
108,Burundi,2019,Sex ratio (males per 100 females),98.4
132,Cabo Verde,2019,Sex ratio (males per 100 females),100.8
116,Cambodia,2019,Sex ratio (males per 100 females),95.4
120,Cameroon,2019,Sex ratio (males per 100 females),100
124,Canada,2019,Sex ratio (males per 100 females),98.5
140,Central African Republic,2019,Sex ratio (males per 100 females),98.3
148,Chad,2019,Sex ratio (males per 100 females),99.7
152,Chile,2019,Sex ratio (males per 100 females),97.2
156,China,2019,Sex ratio (males per 100 females),105.4
344,"China, Hong Kong SAR",2019,Sex ratio (males per 100 females),85.1
446,"China, Macao SAR",2019,Sex ratio (males per 100 females),92.5
170,Colombia,2019,Sex ratio (males per 100 females),96.4
174,Comoros,2019,Sex ratio (males per 100 females),101.8
178,Congo,2019,Sex ratio (males per 100 females),99.8
188,Costa Rica,2019,Sex ratio (males per 100 females),99.9
384,Côte d’Ivoire,2019,Sex ratio (males per 100 females),101.8
191,Croatia,2019,Sex ratio (males per 100 females),93
192,Cuba,2019,Sex ratio (males per 100 females),98.6
531,Curaçao,2019,Sex ratio (males per 100 females),85
196,Cyprus,2019,Sex ratio (males per 100 females),100
203,Czechia,2019,Sex ratio (males per 100 females),96.9
408,Dem. People's Rep. Korea,2019,Sex ratio (males per 100 females),95.7
180,Dem. Rep. of the Congo,2019,Sex ratio (males per 100 females),99.6
208,Denmark,2019,Sex ratio (males per 100 females),98.9
262,Djibouti,2019,Sex ratio (males per 100 females),110.9
214,Dominican Republic,2019,Sex ratio (males per 100 females),99.9
218,Ecuador,2019,Sex ratio (males per 100 females),100.1
818,Egypt,2019,Sex ratio (males per 100 females),102.1
222,El Salvador,2019,Sex ratio (males per 100 females),88.1
226,Equatorial Guinea,2019,Sex ratio (males per 100 females),125.2
232,Eritrea,2019,Sex ratio (males per 100 females),100.5
233,Estonia,2019,Sex ratio (males per 100 females),89.6
748,Eswatini,2019,Sex ratio (males per 100 females),96.1
231,Ethiopia,2019,Sex ratio (males per 100 females),100.1
242,Fiji,2019,Sex ratio (males per 100 females),102.7
246,Finland,2019,Sex ratio (males per 100 females),97.2
250,France,2019,Sex ratio (males per 100 females),93.8
254,French Guiana,2019,Sex ratio (males per 100 females),97.8
258,French Polynesia,2019,Sex ratio (males per 100 females),102.7
266,Gabon,2019,Sex ratio (males per 100 females),103.7
270,Gambia,2019,Sex ratio (males per 100 females),98.4
268,Georgia,2019,Sex ratio (males per 100 females),91.1
276,Germany,2019,Sex ratio (males per 100 females),97.6
288,Ghana,2019,Sex ratio (males per 100 females),102.8
300,Greece,2019,Sex ratio (males per 100 females),96.4
308,Grenada,2019,Sex ratio (males per 100 females),101.5
312,Guadeloupe,2019,Sex ratio (males per 100 females),85.8
316,Guam,2019,Sex ratio (males per 100 females),101.9
320,Guatemala,2019,Sex ratio (males per 100 females),97.1
324,Guinea,2019,Sex ratio (males per 100 females),93.4
624,Guinea-Bissau,2019,Sex ratio (males per 100 females),95.6
328,Guyana,2019,Sex ratio (males per 100 females),101
332,Haiti,2019,Sex ratio (males per 100 females),97.4
340,Honduras,2019,Sex ratio (males per 100 females),99.8
348,Hungary,2019,Sex ratio (males per 100 females),90.8
352,Iceland,2019,Sex ratio (males per 100 females),100.8
356,India,2019,Sex ratio (males per 100 females),108.2
360,Indonesia,2019,Sex ratio (males per 100 females),101.4
364,Iran (Islamic Republic of),2019,Sex ratio (males per 100 females),102.1
368,Iraq,2019,Sex ratio (males per 100 females),102.4
372,Ireland,2019,Sex ratio (males per 100 females),98.5
376,Israel,2019,Sex ratio (males per 100 females),99
380,Italy,2019,Sex ratio (males per 100 females),94.8
388,Jamaica,2019,Sex ratio (males per 100 females),98.6
392,Japan,2019,Sex ratio (males per 100 females),95.4
400,Jordan,2019,Sex ratio (males per 100 females),102.5
398,Kazakhstan,2019,Sex ratio (males per 100 females),94.2
404,Kenya,2019,Sex ratio (males per 100 females),98.8
296,Kiribati,2019,Sex ratio (males per 100 females),96.7
414,Kuwait,2019,Sex ratio (males per 100 females),155.9
417,Kyrgyzstan,2019,Sex ratio (males per 100 females),97.9
418,Lao People's Dem. Rep.,2019,Sex ratio (males per 100 females),100.8
428,Latvia,2019,Sex ratio (males per 100 females),85.3
422,Lebanon,2019,Sex ratio (males per 100 females),101.3
426,Lesotho,2019,Sex ratio (males per 100 females),97.3
430,Liberia,2019,Sex ratio (males per 100 females),101
434,Libya,2019,Sex ratio (males per 100 females),102
440,Lithuania,2019,Sex ratio (males per 100 females),86.1
442,Luxembourg,2019,Sex ratio (males per 100 females),102.1
450,Madagascar,2019,Sex ratio (males per 100 females),99.5
454,Malawi,2019,Sex ratio (males per 100 females),97.3
458,Malaysia,2019,Sex ratio (males per 100 females),105.8
