Region/Country/Area,,Year,Series,Value
4,Afghanistan,2020,Life expectancy at birth for both sexes (years),64.3
8,Albania,2020,Life expectancy at birth for both sexes (years),78.4
12,Algeria,2020,Life expectancy at birth for both sexes (years),76.6
24,Angola,2020,Life expectancy at birth for both sexes (years),60.5
28,Antigua and Barbuda,2020,Life expectancy at birth for both sexes (years),76.8
32,Argentina,2020,Life expectancy at birth for both sexes (years),76.4
51,Armenia,2020,Life expectancy at birth for both sexes (years),74.9
533,Aruba,2020,Life expectancy at birth for both sexes (years),76.1
36,Australia,2020,Life expectancy at birth for both sexes (years),83.2
40,Austria,2020,Life expectancy at birth for both sexes (years),81.4
31,Azerbaijan,2020,Life expectancy at birth for both sexes (years),72.8
44,Bahamas,2020,Life expectancy at birth for both sexes (years),73.7
48,Bahrain,2020,Life expectancy at birth for both sexes (years),77.1
50,Bangladesh,2020,Life expectancy at birth for both sexes (years),72.2
52,Barbados,2020,Life expectancy at birth for both sexes (years),79
112,Belarus,2020,Life expectancy at birth for both sexes (years),74.5
56,Belgium,2020,Life expectancy at birth for both sexes (years),81.4
84,Belize,2020,Life expectancy at birth for both sexes (years),74.4
204,Benin,2020,Life expectancy at birth for both sexes (years),61.3
64,Bhutan,2020,Life expectancy at birth for both sexes (years),71.3
68,Bolivia (Plurin. State of),2020,Life expectancy at birth for both sexes (years),71.1
70,Bosnia and Herzegovina,2020,Life expectancy at birth for both sexes (years),77.2
72,Botswana,2020,Life expectancy at birth for both sexes (years),69.1
76,Brazil,2020,Life expectancy at birth for both sexes (years),75.6
96,Brunei Darussalam,2020,Life expectancy at birth for both sexes (years),75.7
100,Bulgaria,2020,Life expectancy at birth for both sexes (years),74.8
854,Burkina Faso,2020,Life expectancy at birth for both sexes (years),60.9
108,Burundi,2020,Life expectancy at birth for both sexes (years),61
132,Cabo Verde,2020,Life expectancy at birth for both sexes (years),72.7
116,Cambodia,2020,Life expectancy at birth for both sexes (years),69.4
120,Cameroon,2020,Life expectancy at birth for both sexes (years),58.8
124,Canada,2020,Life expectancy at birth for both sexes (years),82.2
140,Central African Republic,2020,Life expectancy at birth for both sexes (years),52.7
