Region/Country/Area,,Year,Series,Value
4,Afghanistan,2019,Population density,58.30
8,Albania,2019,Population density,105.10
12,Algeria,2019,Population density,18.10
16,American Samoa,2019,Population density,276.60
20,Andorra,2019,Population density,164.10
24,Angola,2019,Population density,25.50
660,Anguilla,2019,Population density,165.20
28,Antigua and Barbuda,2019,Population density,220.70
32,Argentina,2019,Population density,16.40
51,Armenia,2019,Population density,103.90
533,Aruba,2019,Population density,590.60
36,Australia,2019,Population density,3.30
40,Austria,2019,Population density,108.70
31,Azerbaijan,2019,Population density,121.60
44,Bahamas,2019,Population density,38.90
48,Bahrain,2019,Population density,2159.40
50,Bangladesh,2019,Population density,1252.60
52,Barbados,2019,Population density,667.50
112,Belarus,2019,Population density,46.60
56,Belgium,2019,Population density,381.10
84,Belize,2019,Population density,17.10
204,Benin,2019,Population density,104.70
60,Bermuda,2019,Population density,1250.20
64,Bhutan,2019,Population density,20.00
68,Bolivia (Plurin. State of),2019,Population density,10.60
70,Bosnia and Herzegovina,2019,Population density,64.70
72,Botswana,2019,Population density,4.10
76,Brazil,2019,Population density,25.30
92,British Virgin Islands,2019,Population density,200.20
96,Brunei Darussalam,2019,Population density,82.20
100,Bulgaria,2019,Population density,64.50
854,Burkina Faso,2019,Population density,74.30
108,Burundi,2019,Population density,449.00
132,Cabo Verde,2019,Population density,136.50
116,Cambodia,2019,Population density,93.40
120,Cameroon,2019,Population density,54.70
124,Canada,2019,Population density,4.10
136,Cayman Islands,2019,Population density,270.60
140,Central African Republic,2019,Population density,7.60
148,Chad,2019,Population density,12.70
152,Chile,2019,Population density,25.50
156,China,2019,Population density,152.70
344,"China, Hong Kong SAR",2019,Population density,7082.10
446,"China, Macao SAR",2019,Population density,21419.60
170,Colombia,2019,Population density,45.40
174,Comoros,2019,Population density,457.20
178,Congo,2019,Population density,15.80
184,Cook Islands,2019,Population density,73.10
188,Costa Rica,2019,Population density,98.90
384,Côte d’Ivoire,2019,Population density,80.90
191,Croatia,2019,Population density,73.80
192,Cuba,2019,Population density,106.50
531,Curaçao,2019,Population density,368.10
196,Cyprus,2019,Population density,129.70
203,Czechia,2019,Population density,138.40
408,Dem. People's Rep. Korea,2019,Population density,213.20
180,Dem. Rep. of the Congo,2019,Population density,38.30
208,Denmark,2019,Population density,136.00
262,Djibouti,2019,Population density,42.00
212,Dominica,2019,Population density,95.70
214,Dominican Republic,2019,Population density,222.20
218,Ecuador,2019,Population density,70.00
818,Egypt,2019,Population density,100.80
222,El Salvador,2019,Population density,311.50
226,Equatorial Guinea,2019,Population density,48.30
232,Eritrea,2019,Population density,34.60
233,Estonia,2019,Population density,31.30
748,Eswatini,2019,Population density,66.80
231,Ethiopia,2019,Population density,112.10
238,Falkland Islands (Malvinas),2019,Population density,0.30
234,Faroe Islands,2019,Population density,34.90
242,Fiji,2019,Population density,48.70
246,Finland,2019,Population density,18.20
250,France,2019,Population density,118.90
254,French Guiana,2019,Population density,3.50
258,French Polynesia,2019,Population density,76.30
266,Gabon,2019,Population density,8.40
270,Gambia,2019,Population density,232.00
268,Georgia,2019,Population density,57.50
276,Germany,2019,Population density,239.60
288,Ghana,2019,Population density,133.70
292,Gibraltar,2019,Population density,3370.60
300,Greece,2019,Population density,81.30
304,Greenland,2019,Population density,0.10
308,Grenada,2019,Population density,329.40
312,Guadeloupe,2019,Population density,245.70
316,Guam,2019,Population density,309.80
320,Guatemala,2019,Population density,164.10
324,Guinea,2019,Population density,52.00
624,Guinea-Bissau,2019,Population density,68.30
328,Guyana,2019,Population density,4.00
332,Haiti,2019,Population density,408.70
336,Holy See,2019,Population density,1852.30
340,Honduras,2019,Population density,87.10
348,Hungary,2019,Population density,107.00
352,Iceland,2019,Population density,3.40
356,India,2019,Population density,459.60
360,Indonesia,2019,Population density,149.40
364,Iran (Islamic Republic of),2019,Population density,50.90
368,Iraq,2019,Population density,90.50
372,Ireland,2019,Population density,70.90
833,Isle of Man,2019,Population density,148.40
376,Israel,2019,Population density,393.70
380,Italy,2019,Population density,205.90
388,Jamaica,2019,Population density,272.20
392,Japan,2019,Population density,348.00
400,Jordan,2019,Population density,113.80
398,Kazakhstan,2019,Population density,6.90
404,Kenya,2019,Population density,92.40
296,Kiribati,2019,Population density,145.20
414,Kuwait,2019,Population density,236.10
417,Kyrgyzstan,2019,Population density,33.50
418,Lao People's Dem. Rep.,2019,Population density,31.10
428,Latvia,2019,Population density,30.70
422,Lebanon,2019,Population density,670.20
426,Lesotho,2019,Population density,70.00
430,Liberia,2019,Population density,51.30
434,Libya,2019,Population density,3.90
438,Liechtenstein,2019,Population density,237.60
440,Lithuania,2019,Population density,44.00
442,Luxembourg,2019,Population density,237.70
450,Madagascar,2019,Population density,46.40
454,Malawi,2019,Population density,197.60
458,Malaysia,2019,Population density,97.20
462,Maldives,2019,Population density,1769.90
466,Mali,2019,Population density,16.10
470,Malta,2019,Population density,1376.20
584,Marshall Islands,2019,Population density,326.60
474,Martinique,2019,Population density,354.30
478,Mauritania,2019,Population density,4.40
480,Mauritius,2019,Population density,625.50
484,Mexico,2019,Population density,65.60
583,Micronesia (Fed. States of),2019,Population density,162.60
492,Monaco,2019,Population density,26152.30
496,Mongolia,2019,Population density,2.10
499,Montenegro,2019,Population density,46.70
500,Montserrat,2019,Population density,49.90
504,Morocco,2019,Population density,81.70
508,Mozambique,2019,Population density,38.60
104,Myanmar,2019,Population density,82.70
516,Namibia,2019,Population density,3.00
520,Nauru,2019,Population density,538.20
524,Nepal,2019,Population density,199.60
528,Netherlands,2019,Population density,507.00
540,New Caledonia,2019,Population density,15.50
554,New Zealand,2019,Population density,18.20
558,Nicaragua,2019,Population density,54.40
562,Niger,2019,Population density,18.40
566,Nigeria,2019,Population density,220.70
570,Niue,2019,Population density,6.20
807,North Macedonia,2019,Population density,82.60
580,Northern Mariana Islands,2019,Population density,124.40
578,Norway,2019,Population density,14.70
512,Oman,2019,Population density,16.10
586,Pakistan,2019,Population density,280.90
585,Palau,2019,Population density,39.10
591,Panama,2019,Population density,57.10
598,Papua New Guinea,2019,Population density,19.40
600,Paraguay,2019,Population density,17.70
604,Peru,2019,Population density,25.40
608,Philippines,2019,Population density,362.60
616,Poland,2019,Population density,123.70
620,Portugal,2019,Population density,111.70
