Region/Country/Area,,Year,Series,Value
4,Afghanistan,2020,Unemployment rate - Total,11.2
8,Albania,2020,Unemployment rate - Total,12.8
12,Algeria,2020,Unemployment rate - Total,11.5
24,Angola,2020,Unemployment rate - Total,6.8
32,Argentina,2020,Unemployment rate - Total,10.4
51,Armenia,2020,Unemployment rate - Total,16.6
36,Australia,2020,Unemployment rate - Total,5.3
40,Austria,2020,Unemployment rate - Total,4.8
31,Azerbaijan,2020,Unemployment rate - Total,6
44,Bahamas,2020,Unemployment rate - Total,11.3
48,Bahrain,2020,Unemployment rate - Total,0.8
50,Bangladesh,2020,Unemployment rate - Total,4.2
52,Barbados,2020,Unemployment rate - Total,10.9
112,Belarus,2020,Unemployment rate - Total,4.6
56,Belgium,2020,Unemployment rate - Total,5.7
84,Belize,2020,Unemployment rate - Total,6.4
204,Benin,2020,Unemployment rate - Total,2
64,Bhutan,2020,Unemployment rate - Total,2.4
68,Bolivia (Plurin. State of),2020,Unemployment rate - Total,3.5
70,Bosnia and Herzegovina,2020,Unemployment rate - Total,18.4
72,Botswana,2020,Unemployment rate - Total,18.7
76,Brazil,2020,Unemployment rate - Total,12
96,Brunei Darussalam,2020,Unemployment rate - Total,9
100,Bulgaria,2020,Unemployment rate - Total,3.9
854,Burkina Faso,2020,Unemployment rate - Total,6.4
108,Burundi,2020,Unemployment rate - Total,1.4
132,Cabo Verde,2020,Unemployment rate - Total,12.3
116,Cambodia,2020,Unemployment rate - Total,0.7
120,Cameroon,2020,Unemployment rate - Total,3.4
124,Canada,2020,Unemployment rate - Total,5.4
140,Central African Republic,2020,Unemployment rate - Total,3.7
148,Chad,2020,Unemployment rate - Total,1.9
830,Channel Islands,2020,Unemployment rate - Total,7.5
152,Chile,2020,Unemployment rate - Total,7.1
156,China,2020,Unemployment rate - Total,4.4
344,"China, Hong Kong SAR",2020,Unemployment rate - Total,4.3
446,"China, Macao SAR",2020,Unemployment rate - Total,2.5
170,Colombia,2020,Unemployment rate - Total,9.7
174,Comoros,2020,Unemployment rate - Total,4.4
178,Congo,2020,Unemployment rate - Total,9.3
188,Costa Rica,2020,Unemployment rate - Total,12.7
384,Côte d’Ivoire,2020,Unemployment rate - Total,3.4
191,Croatia,2020,Unemployment rate - Total,7.1
192,Cuba,2020,Unemployment rate - Total,1.6
196,Cyprus,2020,Unemployment rate - Total,7.2
203,Czechia,2020,Unemployment rate - Total,1.9
408,Dem. People's Rep. Korea,2020,Unemployment rate - Total,2.8
180,Dem. Rep. of the Congo,2020,Unemployment rate - Total,4.3
208,Denmark,2020,Unemployment rate - Total,4.9
262,Djibouti,2020,Unemployment rate - Total,10.3
214,Dominican Republic,2020,Unemployment rate - Total,5.9
218,Ecuador,2020,Unemployment rate - Total,4.2
818,Egypt,2020,Unemployment rate - Total,10.1
222,El Salvador,2020,Unemployment rate - Total,4.2
226,Equatorial Guinea,2020,Unemployment rate - Total,6.5
232,Eritrea,2020,Unemployment rate - Total,5.2
233,Estonia,2020,Unemployment rate - Total,5.4
748,Eswatini,2020,Unemployment rate - Total,22
231,Ethiopia,2020,Unemployment rate - Total,2.1
242,Fiji,2020,Unemployment rate - Total,4.1
246,Finland,2020,Unemployment rate - Total,6.7
250,France,2020,Unemployment rate - Total,8.3
258,French Polynesia,2020,Unemployment rate - Total,11.9
266,Gabon,2020,Unemployment rate - Total,20.2
270,Gambia,2020,Unemployment rate - Total,9.1
268,Georgia,2020,Unemployment rate - Total,14.7
276,Germany,2020,Unemployment rate - Total,3
288,Ghana,2020,Unemployment rate - Total,4.5
300,Greece,2020,Unemployment rate - Total,15.5
316,Guam,2020,Unemployment rate - Total,5.7
320,Guatemala,2020,Unemployment rate - Total,2.5
324,Guinea,2020,Unemployment rate - Total,4.3
624,Guinea-Bissau,2020,Unemployment rate - Total,2.5
328,Guyana,2020,Unemployment rate - Total,11.8
332,Haiti,2020,Unemployment rate - Total,13.9
340,Honduras,2020,Unemployment rate - Total,5.2
348,Hungary,2020,Unemployment rate - Total,3.5
352,Iceland,2020,Unemployment rate - Total,3.2
356,India,2020,Unemployment rate - Total,5.4
360,Indonesia,2020,Unemployment rate - Total,4.8
364,Iran (Islamic Republic of),2020,Unemployment rate - Total,11.2
368,Iraq,2020,Unemployment rate - Total,12.8
372,Ireland,2020,Unemployment rate - Total,5.2
376,Israel,2020,Unemployment rate - Total,3.8
380,Italy,2020,Unemployment rate - Total,9.8
388,Jamaica,2020,Unemployment rate - Total,8
392,Japan,2020,Unemployment rate - Total,2.3
400,Jordan,2020,Unemployment rate - Total,14.6
398,Kazakhstan,2020,Unemployment rate - Total,4.6
404,Kenya,2020,Unemployment rate - Total,2.7
414,Kuwait,2020,Unemployment rate - Total,2.3
417,Kyrgyzstan,2020,Unemployment rate - Total,6.6
418,Lao People's Dem. Rep.,2020,Unemployment rate - Total,0.6
428,Latvia,2020,Unemployment rate - Total,6.5
422,Lebanon,2020,Unemployment rate - Total,6.3
426,Lesotho,2020,Unemployment rate - Total,22.8
430,Liberia,2020,Unemployment rate - Total,2.7
434,Libya,2020,Unemployment rate - Total,18.6
440,Lithuania,2020,Unemployment rate - Total,6.3
442,Luxembourg,2020,Unemployment rate - Total,5.2
450,Madagascar,2020,Unemployment rate - Total,1.8
454,Malawi,2020,Unemployment rate - Total,5.7
458,Malaysia,2020,Unemployment rate - Total,3.4
462,Maldives,2020,Unemployment rate - Total,6.4
466,Mali,2020,Unemployment rate - Total,7.3
470,Malta,2020,Unemployment rate - Total,3.4
478,Mauritania,2020,Unemployment rate - Total,9.6
480,Mauritius,2020,Unemployment rate - Total,6.7
484,Mexico,2020,Unemployment rate - Total,3.7
496,Mongolia,2020,Unemployment rate - Total,6
499,Montenegro,2020,Unemployment rate - Total,14.8
504,Morocco,2020,Unemployment rate - Total,9
508,Mozambique,2020,Unemployment rate - Total,3.2
104,Myanmar,2020,Unemployment rate - Total,1.7
516,Namibia,2020,Unemployment rate - Total,20.6
524,Nepal,2020,Unemployment rate - Total,1.5
528,Netherlands,2020,Unemployment rate - Total,3
540,New Caledonia,2020,Unemployment rate - Total,12.8
554,New Zealand,2020,Unemployment rate - Total,4
558,Nicaragua,2020,Unemployment rate - Total,7.4
562,Niger,2020,Unemployment rate - Total,0.5
566,Nigeria,2020,Unemployment rate - Total,8
807,North Macedonia,2020,Unemployment rate - Total,16.4
578,Norway,2020,Unemployment rate - Total,3.3
512,Oman,2020,Unemployment rate - Total,2.6
586,Pakistan,2020,Unemployment rate - Total,4.5
591,Panama,2020,Unemployment rate - Total,3.8
598,Papua New Guinea,2020,Unemployment rate - Total,2.5
600,Paraguay,2020,Unemployment rate - Total,4.8
604,Peru,2020,Unemployment rate - Total,3.2
608,Philippines,2020,Unemployment rate - Total,2.2
616,Poland,2020,Unemployment rate - Total,3
620,Portugal,2020,Unemployment rate - Total,5.9
630,Puerto Rico,2020,Unemployment rate - Total,8.4
634,Qatar,2020,Unemployment rate - Total,0.1
410,Republic of Korea,2020,Unemployment rate - Total,4.6
498,Republic of Moldova,2020,Unemployment rate - Total,5.4
642,Romania,2020,Unemployment rate - Total,3.9
643,Russian Federation,2020,Unemployment rate - Total,4.4
646,Rwanda,2020,Unemployment rate - Total,1
662,Saint Lucia,2020,Unemployment rate - Total,20.2
670,Saint Vincent & Grenadines,2020,Unemployment rate - Total,18.9
882,Samoa,2020,Unemployment rate - Total,8.4
678,Sao Tome and Principe,2020,Unemployment rate - Total,13.7
682,Saudi Arabia,2020,Unemployment rate - Total,5.9
686,Senegal,2020,Unemployment rate - Total,6.7
688,Serbia,2020,Unemployment rate - Total,12.7
694,Sierra Leone,2020,Unemployment rate - Total,4.4
702,Singapore,2020,Unemployment rate - Total,4.4
703,Slovakia,2020,Unemployment rate - Total,5.1
705,Slovenia,2020,Unemployment rate - Total,3.8
90,Solomon Islands,2020,Unemployment rate - Total,0.5
706,Somalia,2020,Unemployment rate - Total,11.4
710,South Africa,2020,Unemployment rate - Total,28.5
728,South Sudan,2020,Unemployment rate - Total,12.3
724,Spain,2020,Unemployment rate - Total,13
144,Sri Lanka,2020,Unemployment rate - Total,4.2
275,State of Palestine,2020,Unemployment rate - Total,26.1
729,Sudan,2020,Unemployment rate - Total,16.6
740,Suriname,2020,Unemployment rate - Total,7.5
752,Sweden,2020,Unemployment rate - Total,6.7
756,Switzerland,2020,Unemployment rate - Total,4.9
760,Syrian Arab Republic,2020,Unemployment rate - Total,8.5
762,Tajikistan,2020,Unemployment rate - Total,11
764,Thailand,2020,Unemployment rate - Total,0.8
626,Timor-Leste,2020,Unemployment rate - Total,4.6
768,Togo,2020,Unemployment rate - Total,2
776,Tonga,2020,Unemployment rate - Total,1.2
780,Trinidad and Tobago,2020,Unemployment rate - Total,2.8
788,Tunisia,2020,Unemployment rate - Total,16.2
792,Turkey,2020,Unemployment rate - Total,12.9
795,Turkmenistan,2020,Unemployment rate - Total,4.1
800,Uganda,2020,Unemployment rate - Total,1.9
804,Ukraine,2020,Unemployment rate - Total,8.9
784,United Arab Emirates,2020,Unemployment rate - Total,2.5
826,United Kingdom,2020,Unemployment rate - Total,4.1
834,United Rep. of Tanzania,2020,Unemployment rate - Total,2
840,United States of America,2020,Unemployment rate - Total,3.9
850,United States Virgin Islands,2020,Unemployment rate - Total,8.8
858,Uruguay,2020,Unemployment rate - Total,8.8
860,Uzbekistan,2020,Unemployment rate - Total,6.1
548,Vanuatu,2020,Unemployment rate - Total,4.4
862,Venezuela (Boliv. Rep. of),2020,Unemployment rate - Total,9.4
704,Viet Nam,2020,Unemployment rate - Total,2
732,Western Sahara,2020,Unemployment rate - Total,9.4
887,Yemen,2020,Unemployment rate - Total,12.8
894,Zambia,2020,Unemployment rate - Total,11.4
716,Zimbabwe,2020,Unemployment rate - Total,5
