Region/Country/Area,,Year,Series,Value
4,Afghanistan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",27.6
8,Albania,2020,"Safely managed drinking water sources, total (Proportion of population with access)",70.7
12,Algeria,2020,"Safely managed drinking water sources, total (Proportion of population with access)",72.4
16,American Samoa,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.4
20,Andorra,2020,"Safely managed drinking water sources, total (Proportion of population with access)",90.6
51,Armenia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",86.9
40,Austria,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.9
31,Azerbaijan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",88.3
48,Bahrain,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99
50,Bangladesh,2020,"Safely managed drinking water sources, total (Proportion of population with access)",58.5
112,Belarus,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.6
56,Belgium,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.9
64,Bhutan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",36.6
70,Bosnia and Herzegovina,2020,"Safely managed drinking water sources, total (Proportion of population with access)",88.9
76,Brazil,2020,"Safely managed drinking water sources, total (Proportion of population with access)",85.8
100,Bulgaria,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.6
116,Cambodia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",27.8
124,Canada,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99
140,Central African Republic,2020,"Safely managed drinking water sources, total (Proportion of population with access)",6.2
148,Chad,2020,"Safely managed drinking water sources, total (Proportion of population with access)",5.6
152,Chile,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.8
344,"China, Hong Kong SAR",2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
446,"China, Macao SAR",2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
170,Colombia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",73
178,Congo,2020,"Safely managed drinking water sources, total (Proportion of population with access)",45.9
188,Costa Rica,2020,"Safely managed drinking water sources, total (Proportion of population with access)",80.5
384,Côte d’Ivoire,2020,"Safely managed drinking water sources, total (Proportion of population with access)",35.2
196,Cyprus,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.8
203,Czechia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.9
408,Dem. People's Rep. Korea,2020,"Safely managed drinking water sources, total (Proportion of population with access)",66.4
180,Dem. Rep. of the Congo,2020,"Safely managed drinking water sources, total (Proportion of population with access)",19
208,Denmark,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.7
218,Ecuador,2020,"Safely managed drinking water sources, total (Proportion of population with access)",66.8
233,Estonia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",95.8
231,Ethiopia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",12.6
246,Finland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.6
250,France,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.2
254,French Guiana,2020,"Safely managed drinking water sources, total (Proportion of population with access)",90.6
258,French Polynesia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",83.9
270,Gambia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",44.7
268,Georgia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",66.4
276,Germany,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
288,Ghana,2020,"Safely managed drinking water sources, total (Proportion of population with access)",41.4
292,Gibraltar,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
300,Greece,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
304,Greenland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.7
312,Guadeloupe,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.6
316,Guam,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.4
320,Guatemala,2020,"Safely managed drinking water sources, total (Proportion of population with access)",55.8
624,Guinea-Bissau,2020,"Safely managed drinking water sources, total (Proportion of population with access)",24.3
348,Hungary,2020,"Safely managed drinking water sources, total (Proportion of population with access)",92.6
352,Iceland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
364,Iran (Islamic Republic of),2020,"Safely managed drinking water sources, total (Proportion of population with access)",94
368,Iraq,2020,"Safely managed drinking water sources, total (Proportion of population with access)",59.7
372,Ireland,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.3
833,Isle of Man,2020,"Safely managed drinking water sources, total (Proportion of population with access)",97.2
376,Israel,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.3
380,Italy,2020,"Safely managed drinking water sources, total (Proportion of population with access)",95.8
392,Japan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",98.6
400,Jordan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",85.7
398,Kazakhstan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",89.3
296,Kiribati,2020,"Safely managed drinking water sources, total (Proportion of population with access)",14.7
414,Kuwait,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
417,Kyrgyzstan,2020,"Safely managed drinking water sources, total (Proportion of population with access)",70.1
418,Lao People's Dem. Rep.,2020,"Safely managed drinking water sources, total (Proportion of population with access)",17.7
428,Latvia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",96.3
422,Lebanon,2020,"Safely managed drinking water sources, total (Proportion of population with access)",47.7
426,Lesotho,2020,"Safely managed drinking water sources, total (Proportion of population with access)",28.9
438,Liechtenstein,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
440,Lithuania,2020,"Safely managed drinking water sources, total (Proportion of population with access)",94.9
442,Luxembourg,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.5
450,Madagascar,2020,"Safely managed drinking water sources, total (Proportion of population with access)",20.5
458,Malaysia,2020,"Safely managed drinking water sources, total (Proportion of population with access)",93.8
470,Malta,2020,"Safely managed drinking water sources, total (Proportion of population with access)",100
474,Martinique,2020,"Safely managed drinking water sources, total (Proportion of population with access)",99.1
175,Mayotte,2020,"Safely managed drinking water sources, total (Proportion of population with access)",93.4
484,Mexico,2020,"Safely managed drinking water sources, total (Proportion of population with access)",43
