Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
4,Afghanistan,2019,GDP per capita (US dollars),470,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
8,Albania,2019,GDP per capita (US dollars),"5,303",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
12,Algeria,2019,GDP per capita (US dollars),"3,976",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
20,Andorra,2019,GDP per capita (US dollars),"40,887",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
24,Angola,2019,GDP per capita (US dollars),"2,671",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
660,Anguilla,2019,GDP per capita (US dollars),"25,529",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
28,Antigua and Barbuda,2019,GDP per capita (US dollars),"17,113",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
32,Argentina,2019,GDP per capita (US dollars),"10,041",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
51,Armenia,2019,GDP per capita (US dollars),"4,623",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
533,Aruba,2019,GDP per capita (US dollars),"30,975",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
36,Australia,2019,GDP per capita (US dollars),"54,763",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
40,Austria,2019,GDP per capita (US dollars),"49,701",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
31,Azerbaijan,2019,GDP per capita (US dollars),"4,782",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
44,Bahamas,2019,GDP per capita (US dollars),"34,864",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
48,Bahrain,2019,GDP per capita (US dollars),"23,504",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
50,Bangladesh,2019,GDP per capita (US dollars),"1,846",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
52,Barbados,2019,GDP per capita (US dollars),"18,149",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
112,Belarus,2019,GDP per capita (US dollars),"6,674",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
56,Belgium,2019,GDP per capita (US dollars),"46,198",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
84,Belize,2019,GDP per capita (US dollars),"4,815",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
204,Benin,2019,GDP per capita (US dollars),"1,220",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
60,Bermuda,2019,GDP per capita (US dollars),"117,768",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
64,Bhutan,2019,GDP per capita (US dollars),"3,361",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
68,Bolivia (Plurin. State of),2019,GDP per capita (US dollars),"3,552",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
70,Bosnia and Herzegovina,2019,GDP per capita (US dollars),"6,109",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
72,Botswana,2019,GDP per capita (US dollars),"7,961",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
76,Brazil,2019,GDP per capita (US dollars),"8,755",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
92,British Virgin Islands,2019,GDP per capita (US dollars),"43,189",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
96,Brunei Darussalam,2019,GDP per capita (US dollars),"31,086",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
100,Bulgaria,2019,GDP per capita (US dollars),"9,703",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
854,Burkina Faso,2019,GDP per capita (US dollars),787,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
108,Burundi,2019,GDP per capita (US dollars),260,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
132,Cabo Verde,2019,GDP per capita (US dollars),"3,604",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
116,Cambodia,2019,GDP per capita (US dollars),"1,644",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
120,Cameroon,2019,GDP per capita (US dollars),"1,502",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
124,Canada,2019,GDP per capita (US dollars),"46,550",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed June 2021."
