Country_Code,Country_Name,Year,Series,Value,Footnotes,Source
4,Afghanistan,2019,Population density,58.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
8,Albania,2019,Population density,105.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
12,Algeria,2019,Population density,18.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
16,American Samoa,2019,Population density,276.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
20,Andorra,2019,Population density,164.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
24,Angola,2019,Population density,25.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
660,Anguilla,2019,Population density,165.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
28,Antigua and Barbuda,2019,Population density,220.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
32,Argentina,2019,Population density,16.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
51,Armenia,2019,Population density,103.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
533,Aruba,2019,Population density,590.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
36,Australia,2019,Population density,3.3,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
40,Austria,2019,Population density,108.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
31,Azerbaijan,2019,Population density,121.6,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
44,Bahamas,2019,Population density,38.9,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
48,Bahrain,2019,Population density,"2,159.40",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
50,Bangladesh,2019,Population density,"1,252.60",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
52,Barbados,2019,Population density,667.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
112,Belarus,2019,Population density,46.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
56,Belgium,2019,Population density,381.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
84,Belize,2019,Population density,17.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
204,Benin,2019,Population density,104.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
60,Bermuda,2019,Population density,"1,250.20",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
64,Bhutan,2019,Population density,20,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
68,Bolivia (Plurin. State of),2019,Population density,10.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
70,Bosnia and Herzegovina,2019,Population density,64.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
72,Botswana,2019,Population density,4.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
76,Brazil,2019,Population density,25.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
92,British Virgin Islands,2019,Population density,200.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
96,Brunei Darussalam,2019,Population density,82.2,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
100,Bulgaria,2019,Population density,64.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
854,Burkina Faso,2019,Population density,74.3,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
108,Burundi,2019,Population density,449,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
132,Cabo Verde,2019,Population density,136.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
116,Cambodia,2019,Population density,93.4,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
120,Cameroon,2019,Population density,54.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
124,Canada,2019,Population density,4.1,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
136,Cayman Islands,2019,Population density,270.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
140,Central African Republic,2019,Population density,7.6,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
148,Chad,2019,Population density,12.7,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
152,Chile,2019,Population density,25.5,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
156,China,2019,Population density,152.7,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
344,"China, Hong Kong SAR",2019,Population density,"7,082.10",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
446,"China, Macao SAR",2019,Population density,"21,419.60",,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2021."
