Country_Name,Year,Both sexes' Life expectancy-Value,Per Capita GDP-Value,Population Density-Value,Unemployment Rate-Value
Afghanistan,2020.0,64.3,470,58.3,11.2
Albania,2020.0,78.4,"5,303",105.1,12.8
Algeria,2020.0,76.6,"3,976",18.1,11.5
Angola,2020.0,60.5,"2,671",25.5,6.8
Argentina,2020.0,76.4,"10,041",16.4,10.4
Armenia,2020.0,74.9,"4,623",103.9,16.6
Australia,2020.0,83.2,"54,763",3.3,5.3
Austria,2020.0,81.4,"49,701",108.7,4.8
Azerbaijan,2020.0,72.8,"4,782",121.6,6.0
Bahamas,2020.0,73.7,"34,864",38.9,11.3
Bahrain,2020.0,77.1,"23,504","2,159.40",0.8
Bangladesh,2020.0,72.2,"1,846","1,252.60",4.2
Barbados,2020.0,79.0,"18,149",667.5,10.9
Belarus,2020.0,74.5,"6,674",46.6,4.6
Belgium,2020.0,81.4,"46,198",381.1,5.7
Belize,2020.0,74.4,"4,815",17.1,6.4
Benin,2020.0,61.3,"1,220",104.7,2.0
Bhutan,2020.0,71.3,"3,361",20,2.4
Bolivia (Plurin. State of),2020.0,71.1,"3,552",10.6,3.5
Bosnia and Herzegovina,2020.0,77.2,"6,109",64.7,18.4
Botswana,2020.0,69.1,"7,961",4.1,18.7
Brazil,2020.0,75.6,"8,755",25.3,12.0
Brunei Darussalam,2020.0,75.7,"31,086",82.2,9.0
Bulgaria,2020.0,74.8,"9,703",64.5,3.9
Burkina Faso,2020.0,60.9,787,74.3,6.4
Burundi,2020.0,61.0,260,449,1.4
Cabo Verde,2020.0,72.7,"3,604",136.5,12.3
Cambodia,2020.0,69.4,"1,644",93.4,0.7
Cameroon,2020.0,58.8,"1,502",54.7,3.4
Canada,2020.0,82.2,"46,550",4.1,5.4
Central African Republic,2020.0,52.7,468,7.6,3.7
Chad,2020.0,53.8,707,12.7,1.9
Chile,2020.0,80.0,"14,896",25.5,7.1
China,2020.0,76.6,"10,004",152.7,4.4
"China, Hong Kong SAR",2020.0,84.6,"49,180","7,082.10",4.3
