country_code,country_name,life_ladder,democracy_index,consumer_price_index,gender_ratio_males_per100_female,infant_mortality_per1000_births,life_expectancy,per_capita_gdp_dollars,population_density,safe_drinking_water_access_pct,seats_held_by_women_pct,unemployment_rate
8,Albania,5,58.9,119.1,103.7,8,78.4,5303.00,105.1,70.7,29.3,12.8
12,Algeria,4.75,40.1,151.4,102.1,21.2,76.6,3976.00,18.1,72.4,25.8,11.5
51,Armenia,5.49,55.4,129.2,88.8,10.8,74.9,4623.00,103.9,86.9,24.2,16.6
40,Austria,7.2,82.9,118.1,97,3.2,81.4,49701.00,108.7,98.9,37.2,4.8
31,Azerbaijan,5.17,27.5,156.9,99.7,20.8,72.8,4782.00,121.6,88.3,16.8,6
48,Bahrain,7.1,25.5,118.8,179.9,6,77.1,23504.00,2159.4,99,15,0.8
50,Bangladesh,5.11,58.8,179.7,102.4,26.8,72.2,1846.00,1252.6,58.5,20.7,4.2
112,Belarus,5.82,24.8,508.1,87.1,3,74.5,6674.00,46.6,94.6,34.5,4.6
56,Belgium,6.77,76.4,117.1,98,2.8,81.4,46198.00,381.1,99.9,38,5.7
70,Bosnia and Herzegovina,6.02,48.6,104.9,96,6,77.2,6109.00,64.7,88.9,21.4,18.4
76,Brazil,6.45,68.6,167.4,96.7,13,75.6,8755.00,25.3,85.8,15,12
100,Bulgaria,5.11,70.3,114.4,94.4,6.3,74.8,9703.00,64.5,97.6,25.8,3.9
124,Canada,7.11,92.2,116.8,98.5,4.5,82.2,46550.00,4.1,99,26.9,5.4
148,Chad,4.25,16.1,117.7,99.7,74.5,53.8,707.00,12.7,5.6,14.9,1.9
152,Chile,5.94,80.8,131.9,97.2,6.7,80,14896.00,25.5,98.8,22.6,7.1
170,Colombia,6.35,71.3,140.9,96.4,12.6,77,6432.00,45.4,73,18.7,9.7
178,Congo,5.21,31.1,124.7,99.8,35.3,64.2,2304.00,15.8,45.9,11.3,9.3
188,Costa Rica,7,81.3,128.8,99.9,7.3,80,12238.00,98.9,80.5,45.6,12.7
384,Cфte d’Ivoire,5.39,40.5,111.6,101.8,60.4,57.2,2276.00,80.9,35.2,11,3.4
196,Cyprus,6.14,75.9,102.5,100,3.5,80.7,28285.00,129.7,99.8,17.9,7.2
208,Denmark,7.69,92.2,110.3,98.9,3.1,80.7,60657.00,136,96.7,37.4,4.9
218,Ecuador,5.81,63.3,124.1,100.1,13.6,76.7,6184.00,70,66.8,38,4.2
233,Estonia,6.04,79,122.1,89.6,2,78.5,23740.00,31.3,95.8,28.7,5.4
231,Ethiopia,4.1,34.4,319,100.1,37,66,828.00,112.1,12.6,38.8,2.1
246,Finland,7.78,92.5,112.3,97.2,1.7,81.6,48678.00,18.2,99.6,41.5,6.7
250,France,6.69,81.2,110,93.8,3,82.5,40319.00,118.9,99.2,39.7,8.3
270,Gambia,5.16,43.3,172.7,98.4,44.8,61.5,776.00,232,44.7,10.3,9.1
268,Georgia,4.89,54.2,131.1,91.1,9.4,73.5,4439.00,57.5,66.4,14.8,14.7
276,Germany,7.04,86.8,105.2,97.6,3.2,81.1,46232.00,239.6,100,30.9,3
288,Ghana,4.97,66.3,248.4,102.8,35.6,63.7,2203.00,133.7,41.4,13.1,4.5
300,Greece,5.95,74.3,101.9,96.4,2.8,82,19604.00,81.3,100,18.7,15.5
320,Guatemala,6.26,52.6,142.9,97.1,20.7,73.9,4363.00,164.1,55.8,19,2.5
348,Hungary,6,66.3,121.6,90.8,4.1,76.6,16879.00,107,92.6,12.6,3.5
352,Iceland,7.53,95.8,129,100.8,1.3,82.8,71345.00,3.4,100,38.1,3.2
364,Iran (Islamic Republic of),5.01,23.8,175.4,102.1,12.8,76.3,7282.00,50.9,94,5.9,11.2
372,Ireland,7.26,92.4,106.6,98.5,2.7,82,81637.00,70.9,97.3,22.2,5.2
376,Israel,7.33,78.6,108.1,99,2.7,82.7,46376.00,393.7,99.3,29.2,3.8
